mvp_share
0.0
0.081
0.0
0.441
0.002
0.0
0.156
0.0
0.003
0.0
0.0
0.002
0.347
0.0
0.0
0.004
0.138
0.026
0.0
0.0
0.082
0.095
0.036
0.239
0.318
0.002
0.0
0.159
0.71
0.0
0.038
0.023
0.068
0.205
0.0
0.02
0.0
0.0
0.0
0.032
0.001
0.0
0.004
0.977
0.0
0.0
0.0
0.038
0.0
0.0
0.0
0.002
0.0
0.0
0.0
0.001
0.0
0.0
0.009
0.0
0.0
0.005
0.0
0.0
0.007
0.0
0.02
0.0
0.001
0.166
0.013
0.0
0.495
0.484
0.001
0.0
0.0
0.025
0.065
0.002
0.112
0.0
0.986
0.632
0.735
0.157
0.495
0.0
0.0
0.02
0.0
0.048
0.0
0.0
0.001
0.0
0.0
0.005
0.0
0.042
0.198
0.0
0.0
0.001
0.0
0.0
0.017
0.0
0.0
0.352
0.0
0.0
0.026
0.0
0.008
0.0
0.001
0.0
0.005
0.0
0.008
0.075
0.879
0.371
0.271
0.0
0.007
0.003
0.0
0.449
0.0
0.173
0.005
0.051
1.0
0.922
0.053
0.002
0.0
0.0
0.002
0.0
0.0
0.003
0.393
0.0
0.0
0.0
0.053
0.0
0.002
0.001
0.0
0.0
0.001
0.0
0.011
0.531
0.389
0.271
0.048
0.0
0.08
0.0
0.0
0.001
0.0
0.001
0.0
0.0
0.006
0.0
0.0
0.005
0.021
0.0
0.0
0.01
0.004
0.0
0.0
0.002
0.0
0.001
0.0
0.0
0.258
0.001
0.0
0.0
0.006
0.042
0.0
0.006
0.0
0.003
0.093
0.045
0.002
0.004
0.882
0.435
0.275
0.003
0.036
0.025
0.0
0.0
0.004
0.005
0.02
0.097
0.562
0.0
0.002
0.07
0.034
0.0
0.0
0.017
0.071
0.274
0.002
0.0
0.007
0.0
0.001
0.007
0.0
0.0
0.027
0.0
0.0
0.017
0.002
0.0
0.007
0.0
0.0
0.001
0.0
0.0
0.0
0.006
0.0
0.003
0.0
0.0
0.017
0.001
0.0
0.0
0.001
0.017
0.004
0.0
0.0
0.001
0.0
0.0
0.007
0.004
0.0
0.021
0.002
0.032
0.0
0.0
0.001
0.0
0.0
0.033
0.0
0.0
0.04
0.0
0.0
0.001
0.0
0.0
0.001
0.0
0.0
0.532
0.005
0.0
0.012
0.991
0.732
0.013
0.122
0.337
0.152
0.291
0.354
0.487
0.577
0.873
0.404
0.386
0.0
0.172
0.417
0.078
0.009
0.002
0.0
0.001
0.017
0.054
0.002
0.0
0.0
0.002
0.02
0.222
0.026
0.258
0.582
0.808
0.757
0.569
0.205
0.0
0.002
0.0
0.0
0.001
0.005
0.0
0.0
0.001
0.001
0.0
0.0
0.001
0.0
0.0
0.0
0.001
0.0
0.0
0.0
0.003
0.344
0.0
0.0
0.425
0.0
0.0
0.032
0.0
0.0
0.006
0.0
0.0
0.006
0.0
0.04
0.0
0.014
0.785
0.739
0.839
0.0
0.001
0.004
0.0
0.0
0.006
0.0
0.0
0.093
0.0
0.014
0.026
0.712
0.015
0.021
0.0
0.002
0.002
0.0
0.0
0.001
0.0
0.0
0.001
0.0
0.0
0.001
0.0
0.0
0.0
0.003
0.0
0.0
0.02
0.028
0.019
0.0
0.0
0.024
0.0
0.003
0.0
0.0
0.001
0.0
0.0
0.001
0.0
0.0
0.015
0.085
0.0
0.035
0.0
0.359
0.31
0.052
0.0
0.0
0.228
0.0
0.001
0.0
0.0
0.0
0.002
0.0
0.813
0.145
0.106
0.552
0.466
0.998
0.001
0.0
0.0
0.001
0.0
0.0
0.0
0.001
0.189
0.0
0.07
0.023
0.904
0.109
0.0
0.001
0.001
0.0
0.303
0.0
0.016
0.029
0.42
0.079
0.0
0.001
0.0
0.001
0.0
0.0
0.003
0.0
0.0
0.0
0.043
0.0
0.149
0.0
0.001
0.0
0.001
0.0
0.001
0.0
0.0
0.017
0.258
0.0
0.001
0.0
0.0
0.006
0.0
0.0
0.001
0.0
0.0
0.013
