seas_id,season,player_id,player,pos,age,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,mvp_share,gs,mp_per_game,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
30964,2023,4352,Nikola Jokić,C,27.0,NBA,DEN,69,2323.0,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17.0,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13.0,8.8,0.632,8.6,0.854,0.307,0.417,0.092,0.038,0.146,0.675,0.783,0.641,0.5,0.59,0.383,0.606,0.842,0.022,21,0.027,0.25,2,0,0.674,69.0,33.7,9.4,14.8,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6.0,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5
30247,2022,4352,Nikola Jokić,C,26.0,NBA,DEN,74,2476.0,32.8,0.661,0.22,0.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,0.583,10.2,0.78,0.268,0.384,0.082,0.046,0.22,0.652,0.776,0.606,0.565,0.467,0.337,0.58,0.918,0.025,31,0.038,0.273,3,0,0.875,74.0,33.5,10.3,17.7,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1
29456,2021,4352,Nikola Jokić,C,25.0,NBA,DEN,72,2488.0,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,0.566,10.6,0.817,0.244,0.35,0.14,0.082,0.183,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45,0.034,0.375,3,0,0.961,72.0,34.6,10.2,18.0,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4
28777,2020,4352,Nikola Jokić,C,24.0,NBA,DEN,73,2336.0,24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,0.528,12.0,0.762,0.237,0.275,0.143,0.107,0.238,0.594,0.724,0.599,0.49,0.435,0.314,0.511,0.85,0.014,15,0.039,0.5,4,0,0.018,73.0,32.0,7.7,14.7,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9
28085,2019,4352,Nikola Jokić,C,23.0,NBA,DEN,80,2504.0,26.3,0.589,0.224,0.292,9.8,27.6,18.7,37.0,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7.0,0.511,10.4,0.776,0.323,0.299,0.086,0.067,0.224,0.569,0.695,0.499,0.519,0.346,0.307,0.48,0.916,0.009,11,0.022,0.333,4,0,0.21,80.0,31.3,7.7,15.1,1.0,3.4,0.307,6.7,11.7,0.569,0.545,3.6,4.4,0.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1
27407,2018,4352,Nikola Jokić,C,22.0,NBA,DEN,75,2443.0,24.4,0.603,0.277,0.31,9.0,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.211,5.3,1.6,6.9,5.5,0.499,11.9,0.723,0.225,0.287,0.113,0.096,0.277,0.538,0.674,0.5,0.456,0.443,0.396,0.542,0.892,0.009,8,0.075,0.571,3,0,0.0,73.0,32.6,6.7,13.5,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5
