seas_id,season,player_id,player,pos,age,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,mvp_share,gs,mp_per_game,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
30764,2023,4417,Joel Embiid,C,28.0,NBA,PHI,66,2284.0,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,0.548,11.3,0.849,0.273,0.196,0.245,0.135,0.151,0.587,0.81,0.435,0.509,0.497,0.33,0.6,0.894,0.066,75,0.04,0.25,4,0,0.915,66.0,34.6,11.0,20.1,1.0,3.0,0.33,10.0,17.1,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1
30033,2022,4417,Joel Embiid,C,27.0,NBA,PHI,68,2297.0,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12.0,0.252,7.2,2.0,9.2,6.5,0.499,11.9,0.812,0.253,0.194,0.24,0.124,0.188,0.529,0.763,0.409,0.431,0.428,0.371,0.513,0.71,0.06,74,0.048,0.25,1,0,0.706,68.0,33.8,9.8,19.6,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6
29288,2021,4417,Joel Embiid,C,26.0,NBA,PHI,51,1585.0,30.3,0.636,0.171,0.61,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8,0.513,11.8,0.829,0.219,0.227,0.246,0.137,0.171,0.541,0.736,0.441,0.48,0.504,0.377,0.429,0.879,0.05,41,0.045,0.571,1,0,0.58,51.0,31.1,9.0,17.6,1.1,3.0,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5
28603,2020,4417,Joel Embiid,C,25.0,NBA,PHI,51,1506.0,25.8,0.59,0.215,0.543,10.3,33.2,21.7,16.9,1.4,3.7,13.8,32.9,3.3,2.7,6.0,0.192,3.7,1.0,4.7,2.5,0.477,12.4,0.785,0.255,0.195,0.202,0.134,0.215,0.517,0.725,0.468,0.407,0.355,0.331,0.452,0.912,0.061,45,0.035,0.333,2,0,0.0,51.0,29.5,7.5,15.7,1.1,3.4,0.331,6.4,12.3,0.517,0.512,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0
27919,2019,4417,Joel Embiid,C,24.0,NBA,PHI,64,2154.0,26.1,0.593,0.219,0.541,8.1,34.0,21.4,18.4,1.0,4.4,13.2,33.3,4.9,3.8,8.7,0.194,4.0,0.9,4.9,3.8,0.484,11.0,0.781,0.345,0.209,0.137,0.09,0.219,0.535,0.729,0.404,0.366,0.352,0.3,0.487,0.924,0.1,106,0.038,0.4,2,0,0.049,64.0,33.7,9.1,18.7,1.2,4.1,0.3,7.8,14.6,0.535,0.517,8.2,10.1,0.804,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5
27241,2018,4417,Joel Embiid,C,23.0,NBA,PHI,63,1912.0,22.9,0.573,0.203,0.442,8.4,29.7,19.4,18.0,1.0,4.8,15.6,33.4,2.3,3.8,6.2,0.155,2.0,1.3,3.3,2.6,0.483,11.1,0.797,0.293,0.176,0.22,0.106,0.203,0.527,0.728,0.387,0.431,0.42,0.308,0.439,0.924,0.087,82,0.051,0.364,0,0,0.004,63.0,30.3,8.1,16.8,1.0,3.4,0.308,7.0,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9
26596,2017,4417,Joel Embiid,C,22.0,NBA,PHI,31,786.0,24.1,0.584,0.228,0.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,0.5,1.5,1.9,0.117,1.9,2.7,4.5,1.3,0.466,11.2,0.772,0.324,0.191,0.17,0.086,0.228,0.495,0.64,0.366,0.37,0.486,0.367,0.53,0.972,0.065,25,0.02,0.0,0,0,0.0,31.0,25.4,6.5,13.8,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
