seas_id,season,player_id,player,pos,age,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,mvp_share,gs,mp_per_game,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
30665,2023,4164,Giannis Antetokounmpo,PF,28.0,NBA,MIL,63,2024.0,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,0.553,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.791,0.354,0.353,0.355,0.275,0.415,0.617,0.166,198,0.023,0.25,0,0,0.606,63.0,32.1,11.2,20.3,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1
29918,2022,4164,Giannis Antetokounmpo,PF,27.0,NBA,MIL,67,2204.0,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,0.553,10.0,0.806,0.406,0.198,0.12,0.082,0.194,0.616,0.808,0.421,0.416,0.431,0.293,0.432,0.423,0.152,179,0.025,0.167,2,0,0.595,67.0,32.9,10.3,18.6,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9
29187,2021,4164,Giannis Antetokounmpo,PF,26.0,NBA,MIL,61,2013.0,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6,0.569,9.5,0.799,0.451,0.193,0.094,0.062,0.201,0.636,0.837,0.401,0.359,0.324,0.303,0.428,0.299,0.169,178,0.045,0.3,0,0,0.345,61.0,33.0,10.3,18.0,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1
28507,2020,4164,Giannis Antetokounmpo,PF,25.0,NBA,MIL,63,1917.0,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,0.553,9.8,0.763,0.482,0.16,0.073,0.048,0.237,0.631,0.779,0.343,0.433,0.4,0.304,0.438,0.551,0.17,197,0.034,0.5,0,0,0.952,63.0,30.4,10.9,19.7,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5
27809,2019,4164,Giannis Antetokounmpo,PF,24.0,NBA,MIL,72,2358.0,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,0.578,7.7,0.837,0.573,0.152,0.051,0.063,0.163,0.641,0.769,0.339,0.381,0.41,0.256,0.472,0.673,0.246,279,0.044,0.222,1,0,0.932,72.0,32.8,10.0,17.3,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7
27142,2018,4164,Giannis Antetokounmpo,PF,23.0,NBA,MIL,75,2756.0,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,0.529,8.4,0.9,0.454,0.173,0.114,0.16,0.1,0.554,0.756,0.355,0.35,0.339,0.307,0.429,0.907,0.122,161,0.107,0.333,1,0,0.074,75.0,36.7,9.9,18.7,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9
26526,2017,4164,Giannis Antetokounmpo,SF,22.0,NBA,MIL,80,2845.0,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,0.521,8.7,0.857,0.496,0.149,0.064,0.146,0.143,0.563,0.709,0.394,0.338,0.342,0.272,0.42,0.714,0.164,194,0.111,0.2,4,0,0.007,80.0,35.6,8.2,15.7,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9
25933,2016,4164,Giannis Antetokounmpo,PG,21.0,NBA,MIL,80,2823.0,18.8,0.566,0.108,0.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,0.506,7.5,0.892,0.509,0.18,0.058,0.143,0.108,0.537,0.684,0.346,0.288,0.359,0.257,0.485,0.821,0.143,141,0.321,0.343,4,0,0.0,79.0,35.3,6.4,12.7,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
